Date,Open,High,Low,Close,Volume,Adj Close
2001-12-21,115.03,115.07,114.20,114.95,14037700,94.37
2001-12-20,115.50,115.80,114.55,114.65,14867900,94.12
2001-12-19,114.09,115.92,114.00,115.79,20143400,95.06
2001-12-18,114.63,115.15,114.34,114.98,13663700,94.40
2001-12-17,112.99,114.36,112.90,114.30,13925900,93.84
2001-12-14,112.33,113.49,112.00,113.13,16721900,92.88
2001-12-13,113.45,113.70,112.04,112.06,19026700,92.00
2001-12-12,114.55,114.78,113.11,114.28,16171500,93.82
2001-12-11,114.90,115.72,113.90,114.15,20833300,93.71
2001-12-10,115.85,116.39,114.35,114.38,13862700,93.90
2001-12-07,116.90,117.09,115.70,116.56,18857800,95.69
2001-12-06,117.34,117.94,116.93,117.34,17972900,96.33
2001-12-05,115.61,118.00,115.56,117.40,25204000,96.38
2001-12-04,113.92,115.30,113.35,115.29,17239900,94.65
2001-12-03,113.65,114.08,113.01,113.37,15220400,93.07
2001-11-30,114.40,114.91,114.02,114.05,13680300,93.63
2001-11-29,113.66,114.92,113.00,114.87,16354700,94.30
2001-11-28,114.74,115.17,113.25,113.34,20195500,93.05
2001-11-27,115.62,116.90,114.09,115.43,19261400,94.76
2001-11-26,115.75,116.34,115.07,115.93,13726000,95.17
2001-11-23,114.04,115.75,114.00,115.68,6717100,94.97
2001-11-21,114.50,114.67,113.51,114.04,11470200,93.62
2001-11-20,115.37,115.80,114.64,114.80,16209700,94.25
2001-11-19,114.92,115.85,114.45,115.77,13625400,95.04
2001-11-16,115.08,115.10,113.40,114.36,18134900,93.89
2001-11-15,114.37,115.18,113.93,114.87,19470200,94.30
2001-11-14,115.17,115.40,113.71,114.66,17571300,94.13
2001-11-13,113.44,114.55,113.18,114.55,15296200,94.04
2001-11-12,111.00,112.65,110.00,112.03,26068800,91.97
2001-11-09,112.25,112.96,111.44,112.72,15895800,92.54
2001-11-08,112.87,114.08,111.90,112.60,22563500,92.44
2001-11-07,111.77,113.12,111.64,112.25,19716000,92.15
2001-11-06,110.35,112.48,109.85,112.40,23245800,92.28
2001-11-05,110.12,111.09,109.95,110.68,15929500,90.86
2001-11-02,108.44,109.38,107.87,109.25,17575900,89.69
2001-11-01,106.60,109.01,105.70,108.51,29806800,89.08
2001-10-31,106.90,107.86,105.80,105.80,28124200,86.86
2001-10-30,107.35,107.70,105.56,106.16,26178600,87.15
2001-10-29,110.16,110.55,107.45,107.45,18727500,88.21
2001-10-26,109.95,111.79,109.67,110.32,18623300,90.57
2001-10-25,107.45,110.60,106.74,110.57,27467900,90.77
2001-10-24,108.98,109.45,108.22,108.62,16065200,89.17
2001-10-23,109.96,110.28,108.38,108.91,22062500,89.41
2001-10-22,107.30,109.57,107.21,109.47,17540600,89.87
2001-10-19,107.00,107.91,106.01,107.35,21912500,88.13
2001-10-18,107.82,108.16,106.75,107.42,16510000,88.19
2001-10-17,111.07,111.15,107.65,107.65,28542300,88.38
2001-10-16,109.80,110.61,108.95,109.99,15877100,90.30
2001-10-15,108.63,109.45,108.06,109.30,16873000,89.73
2001-10-12,109.15,109.89,107.30,109.50,31360500,89.90
2001-10-11,108.95,110.30,108.95,110.00,23006300,90.31
2001-10-10,105.80,108.55,105.52,108.32,19987400,88.93
2001-10-09,106.61,106.75,105.60,105.96,15976300,86.99
2001-10-08,106.27,107.30,105.87,106.53,12970300,87.46
2001-10-05,107.25,107.62,105.52,107.23,29796100,88.03
2001-10-04,108.29,108.97,106.75,107.44,32674100,88.20
2001-10-03,104.60,107.88,104.35,107.35,32045800,88.13
2001-10-02,104.00,105.58,103.65,105.58,19833100,86.68
2001-10-01,103.90,104.32,102.83,104.27,20457400,85.60
2001-09-28,102.98,109.62,102.50,104.44,21687200,85.74
2001-09-27,101.25,102.29,100.00,102.27,20536800,83.96
2001-09-26,102.35,102.40,100.43,101.39,18587500,83.24
2001-09-25,100.75,102.00,99.90,101.75,25466200,83.53
2001-09-24,99.72,101.16,99.06,100.70,25549600,82.67
2001-09-21,94.28,98.99,93.80,97.28,49782100,79.86
2001-09-20,100.40,101.81,98.56,98.71,36210900,80.73
2001-09-19,104.10,104.50,98.56,101.95,42771800,83.38
2001-09-18,104.33,105.30,103.36,104.05,22029200,85.10
2001-09-17,101.00,106.40,100.00,104.30,32388700,85.31
2001-09-10,107.70,110.35,107.70,110.05,23408700,90.01
2001-09-07,110.02,111.25,108.63,108.72,33133900,88.92
2001-09-06,112.65,113.30,110.77,110.77,21653000,90.60
2001-09-05,113.70,114.19,111.95,113.70,21477100,92.99
2001-09-04,113.85,116.17,113.37,113.42,24473400,92.77
2001-08-31,113.40,114.77,113.13,114.15,15985400,93.36
2001-08-30,114.85,115.74,112.04,113.32,17692600,92.68
2001-08-29,117.13,117.18,115.17,115.54,16180000,94.50
2001-08-28,118.28,118.49,116.58,116.58,12046600,95.35
2001-08-27,118.97,119.20,118.26,118.31,7425100,96.76
2001-08-24,117.21,119.13,116.74,119.02,11687700,97.35
2001-08-23,116.96,117.52,116.49,116.60,8744100,95.37
2001-08-22,116.75,117.43,115.78,117.02,11752300,95.71
2001-08-21,117.80,118.54,115.80,115.82,14480800,94.73
2001-08-20,116.80,117.90,116.55,117.83,10417400,96.37
2001-08-17,117.65,117.87,116.01,116.75,11604600,95.49
2001-08-16,117.80,118.75,117.00,118.65,10734700,97.04
2001-08-15,119.23,119.61,118.08,118.24,8520600,96.71
2001-08-14,120.14,120.35,118.80,119.27,13178100,97.55
2001-08-13,119.60,119.85,118.81,119.32,7431600,97.59
2001-08-10,118.80,119.84,117.34,119.29,11173300,97.57
2001-08-09,118.70,118.97,117.86,118.88,14118500,97.23
2001-08-08,120.12,121.16,118.43,118.53,15183800,96.94
2001-08-07,120.27,121.20,119.91,120.77,8865100,98.78
2001-08-06,121.35,121.51,120.10,120.30,8550100,98.39
2001-08-03,122.36,122.36,120.90,121.94,10816300,99.73
2001-08-02,123.23,123.25,121.89,122.61,11070100,100.28
2001-08-01,121.97,122.70,121.55,122.11,11940800,99.87
2001-07-31,121.00,122.68,120.80,121.35,11918100,99.25
2001-07-30,121.19,121.35,120.30,120.85,8547700,98.84
2001-07-27,120.83,121.35,119.91,120.81,8478800,98.81
2001-07-26,119.06,120.85,118.56,120.35,12898200,98.43
2001-07-25,117.92,119.48,117.46,119.10,12088500,97.41
2001-07-24,119.00,119.20,116.75,117.80,12269000,96.35
2001-07-23,121.80,121.88,118.95,118.95,8065200,97.29
2001-07-20,121.15,121.94,120.92,121.34,6705800,99.24
2001-07-19,122.18,122.98,120.76,122.07,10082900,99.84
2001-07-18,120.56,121.64,120.06,121.01,7709300,98.97
2001-07-17,120.20,121.95,119.83,121.84,7469800,99.65
2001-07-16,121.77,122.28,120.29,120.71,6915300,98.73
2001-07-13,120.84,122.32,120.62,122.24,10433800,99.98
2001-07-12,119.50,121.47,119.31,121.19,12002800,99.12
2001-07-11,118.10,118.89,117.09,118.38,15328600,96.82
2001-07-10,120.29,120.64,118.21,118.26,8630700,96.72
2001-07-09,119.49,120.54,119.20,119.70,8339300,97.90
2001-07-06,121.31,121.49,119.05,119.05,11665900,97.37
2001-07-05,123.07,123.65,121.66,121.68,5517900,99.52
2001-07-03,123.98,124.10,123.05,124.10,3303100,101.50
2001-07-02,122.80,124.32,122.62,124.13,8522200,101.52
2001-06-29,122.80,124.01,122.26,122.60,9824200,100.27
2001-06-28,122.00,123.94,121.93,122.15,10269300,99.91
2001-06-27,121.60,122.24,120.91,121.48,10105100,99.36
2001-06-26,120.90,122.39,120.57,121.55,8005800,99.41
2001-06-25,123.28,123.44,121.50,121.72,8406800,99.55
2001-06-22,123.49,123.59,122.16,122.85,12212000,100.48
2001-06-21,122.22,124.31,122.15,123.82,12259100,101.27
2001-06-20,121.19,122.86,121.10,122.43,8787200,100.13
2001-06-19,122.38,122.89,120.89,121.79,7732300,99.61
2001-06-18,121.65,122.44,120.91,121.26,11368300,99.18
2001-06-15,120.91,122.40,120.40,121.85,16821100,99.66
2001-06-14,124.18,124.30,121.75,122.00,12603000,99.50
2001-06-13,126.17,126.58,124.65,124.80,7629400,101.78
2001-06-12,124.86,126.74,124.04,125.88,9364400,102.66
2001-06-11,126.71,126.99,125.41,126.10,7012200,102.84
2001-06-08,127.70,127.87,126.14,127.00,8170600,103.58
2001-06-07,127.05,128.35,127.00,128.19,7355300,104.55
2001-06-06,128.83,128.83,127.36,127.73,12064900,104.17
2001-06-05,127.49,129.23,127.27,128.80,9115400,105.05
2001-06-04,126.80,127.43,126.08,127.34,5623500,103.85
2001-06-01,126.20,127.10,125.12,126.73,8848300,103.36
2001-05-31,125.43,126.76,125.26,125.95,9874200,102.72
2001-05-30,126.59,127.09,125.00,125.30,10041800,102.19
2001-05-29,128.22,128.35,126.90,127.08,9003900,103.64
2001-05-25,129.65,129.70,127.90,128.10,7425000,104.47
2001-05-24,129.47,130.00,128.55,129.63,7902800,105.72
2001-05-23,131.05,131.05,129.25,129.25,12330800,105.41
2001-05-22,131.83,132.09,131.07,131.48,8342700,107.23
2001-05-21,129.84,131.84,129.15,131.65,11531500,107.37
2001-05-18,129.09,129.74,128.10,129.74,6683100,105.81
2001-05-17,129.00,130.08,128.56,129.15,11824600,105.33
2001-05-16,124.84,129.20,124.62,128.95,14909000,105.17
2001-05-15,125.55,126.50,124.85,125.98,9782200,102.75
2001-05-14,124.90,125.44,124.46,125.40,7914000,102.27
2001-05-11,126.00,126.49,124.40,125.15,7734400,102.07
2001-05-10,127.26,127.50,125.77,126.02,6872400,102.78
2001-05-09,125.25,126.55,125.06,125.65,9507400,102.48
2001-05-08,126.86,127.10,125.56,126.18,6952600,102.91
2001-05-07,126.86,127.38,126.23,126.24,7185200,102.96
2001-05-04,123.65,127.35,123.44,127.34,12145300,103.85
2001-05-03,126.13,126.15,124.22,125.21,9926200,102.12
2001-05-02,127.41,127.69,126.00,126.82,9572900,103.43
2001-05-01,125.07,127.15,124.60,127.05,10578000,103.62
2001-04-30,126.45,127.27,124.67,126.66,10766900,103.30
2001-04-27,124.92,125.84,124.20,125.78,7938700,102.58
2001-04-26,123.73,125.22,123.50,123.72,10590400,100.90
2001-04-25,121.42,123.67,120.95,123.17,8249000,100.45
2001-04-24,122.52,123.65,121.10,121.58,10044700,99.16
2001-04-23,123.65,123.89,121.91,122.24,8451800,99.70
2001-04-20,124.90,125.40,123.66,124.50,7626700,101.54
2001-04-19,124.25,125.84,123.58,125.65,13809900,102.48
2001-04-18,121.06,126.00,120.69,124.00,32481600,101.13
2001-04-17,117.31,119.66,117.02,119.26,10924700,97.27
2001-04-16,118.29,118.89,116.91,117.60,7350000,95.91
2001-04-12,116.30,118.94,115.96,118.85,9233200,96.93
2001-04-11,118.78,118.99,116.14,116.73,12722300,95.20
2001-04-10,115.45,117.75,115.17,116.65,17873600,95.14
2001-04-09,114.00,114.99,112.78,114.56,9034300,93.43
2001-04-06,113.99,114.40,112.06,113.30,14937800,92.40
2001-04-05,113.30,115.49,112.50,115.05,21522800,93.83
2001-04-04,110.57,112.10,109.30,110.85,14884300,90.41
2001-04-03,113.98,114.15,110.06,110.39,12836000,90.03
2001-04-02,116.30,117.38,113.80,114.20,10561000,93.14
2001-03-30,115.55,116.69,114.50,116.69,9183600,95.17
2001-03-29,114.70,116.50,112.14,115.48,12060300,94.18
2001-03-28,116.90,116.95,114.90,115.04,10953300,93.82
2001-03-27,115.62,118.65,115.28,118.31,12880700,96.49
2001-03-26,115.70,116.27,114.77,115.94,9943800,94.56
2001-03-23,113.25,114.66,111.50,114.48,12861700,93.37
2001-03-22,112.02,112.60,108.04,111.12,28624800,90.63
2001-03-21,114.18,115.26,111.90,112.26,19004600,91.56
2001-03-20,117.90,118.46,114.11,114.20,15083900,93.14
2001-03-19,115.76,117.69,114.82,117.35,10067800,95.71
2001-03-16,117.13,117.40,114.81,115.01,58514600,93.80
2001-03-15,118.45,118.86,117.36,117.68,10370300,95.72
2001-03-14,117.05,119.29,115.75,117.65,19883400,95.69
2001-03-13,119.40,120.44,117.53,120.02,12888000,97.62
2001-03-12,122.34,122.50,117.75,118.08,13972900,96.04
2001-03-09,126.10,126.10,123.11,123.36,10020300,100.34
2001-03-08,126.60,127.24,126.14,127.12,6055000,103.40
2001-03-07,126.90,127.04,125.76,126.98,6371700,103.28
2001-03-06,126.35,127.75,125.49,126.08,6917000,102.55
2001-03-05,124.15,124.78,123.81,124.74,5293200,101.46
2001-03-02,122.50,125.65,122.30,123.61,12564300,100.54
2001-03-01,124.05,124.60,121.75,124.60,14672000,101.35
2001-02-28,126.75,126.84,123.27,123.95,14825800,100.82
2001-02-27,126.80,127.84,125.51,126.44,11415000,102.84
2001-02-26,125.80,127.62,124.50,127.62,11503700,103.80
2001-02-23,125.08,125.54,121.80,124.96,20173000,101.64
2001-02-22,126.35,126.54,123.02,125.81,21281600,102.33
2001-02-21,127.90,128.84,125.50,125.62,10910800,102.18
2001-02-20,131.04,131.14,128.10,128.39,5760000,104.43
2001-02-16,131.00,131.29,129.30,130.40,6434900,106.07
2001-02-15,132.84,133.52,131.99,133.34,5929800,108.46
2001-02-14,132.65,132.65,130.66,132.06,8400100,107.42
2001-02-13,133.70,134.17,132.00,132.26,6587600,107.58
2001-02-12,131.70,133.50,131.70,133.35,5804400,108.46
2001-02-09,133.35,133.35,131.26,131.84,9913000,107.24
2001-02-08,134.80,135.40,133.10,133.12,5943300,108.28
2001-02-07,134.72,135.40,133.68,134.69,5748700,109.55
2001-02-06,135.30,136.70,135.22,135.39,7106700,110.12
2001-02-05,134.80,135.94,134.75,135.79,4352900,110.45
2001-02-02,137.40,137.99,134.75,134.80,8276600,109.64
2001-02-01,137.10,137.95,136.25,137.93,8239100,112.19
2001-01-31,137.40,138.70,136.60,137.02,9706900,111.45
2001-01-30,136.30,137.92,135.79,137.80,7069100,112.08
2001-01-29,135.50,136.90,135.37,136.60,6705900,111.11
2001-01-26,135.16,136.13,134.45,135.88,7136800,110.52
2001-01-25,136.25,137.25,135.66,136.03,10818300,110.64
2001-01-24,136.25,137.31,135.84,136.38,6199900,110.93
2001-01-23,134.47,136.66,134.16,135.97,8463100,110.60
2001-01-22,134.25,135.78,133.56,134.91,7050900,109.73
2001-01-19,136.19,136.19,133.88,134.02,7782500,109.01
2001-01-18,133.44,135.70,132.94,134.78,8107000,109.63
2001-01-17,134.84,135.05,132.64,133.45,7851400,108.55
2001-01-16,132.00,133.19,131.52,132.84,8542200,108.05
2001-01-12,132.69,133.72,131.28,132.00,7244000,107.37
2001-01-11,131.09,133.48,131.09,132.25,7245100,107.57
2001-01-10,129.00,132.13,128.81,132.13,8746100,107.47
2001-01-09,131.05,131.50,129.42,129.84,5702400,105.61
2001-01-08,129.88,130.19,127.69,130.19,6625300,105.89
2001-01-05,133.47,133.63,129.19,129.19,12911400,105.08
2001-01-04,134.94,135.47,133.00,133.55,9219000,108.63
2001-01-03,128.31,136.00,127.66,135.00,19431600,109.81
2001-01-02,132.00,132.16,127.56,128.81,8737500,104.77
2000-12-29,134.06,134.28,131.19,131.19,8774600,106.71
2000-12-28,132.81,133.88,132.59,133.72,8358700,108.77
2000-12-27,131.75,133.73,131.25,133.31,4854100,108.43
2000-12-26,130.84,132.34,130.28,132.34,4665300,107.64
2000-12-22,129.00,131.11,128.84,130.94,10182900,106.50
2000-12-21,126.00,128.86,125.53,127.12,14331500,103.40
2000-12-20,128.63,128.94,126.09,126.25,9994300,102.69
2000-12-19,132.47,134.97,130.02,130.02,9616600,105.76
2000-12-18,132.06,133.47,131.77,132.72,7235400,107.95
2000-12-15,133.13,133.13,130.56,130.97,9065300,106.53
2000-12-14,135.88,136.50,134.03,134.41,7678400,109.03
2000-12-13,139.25,139.41,136.03,136.14,6070500,110.44
2000-12-12,138.19,138.81,137.38,138.03,5022900,111.97
2000-12-11,137.38,139.56,136.72,138.63,6405600,112.46
2000-12-08,137.06,139.47,133.88,133.97,10276300,108.68
2000-12-07,134.88,135.88,133.66,133.66,6529100,108.43
2000-12-06,137.78,138.34,135.03,135.52,12888000,109.93
2000-12-05,134.88,138.25,134.41,137.72,8883400,111.72
2000-12-04,131.88,133.88,131.50,133.34,6996600,108.17
2000-12-01,133.19,134.06,131.00,132.22,7587200,107.26
2000-11-30,132.50,133.50,129.75,132.28,11201600,107.31
2000-11-29,134.38,135.91,133.27,133.44,6914100,108.25
2000-11-28,135.13,136.59,133.64,133.69,5336100,108.45
2000-11-27,136.47,136.69,135.31,136.03,5992000,110.35
2000-11-24,133.63,134.97,133.63,134.84,3411600,109.38
2000-11-22,134.34,134.88,132.13,132.14,5736900,107.19
2000-11-21,134.88,136.19,133.52,135.38,7684300,109.82
2000-11-20,135.75,136.38,134.31,134.69,5458500,109.26
2000-11-17,137.31,139.00,135.75,136.64,6551100,110.84
2000-11-16,138.58,139.88,137.31,137.38,6684100,111.44
2000-11-15,139.06,140.11,137.75,139.56,8837700,113.21
2000-11-14,137.47,139.63,137.00,139.13,7668900,112.86
2000-11-13,135.63,136.98,133.02,135.56,17285300,109.97
2000-11-10,139.00,139.47,136.53,136.63,8569500,110.83
2000-11-09,140.00,141.22,137.25,140.03,10635300,113.59
2000-11-08,144.06,144.06,140.56,140.56,6123300,114.02
2000-11-07,143.14,144.00,142.56,143.75,5231300,116.61
2000-11-06,143.16,144.30,143.03,143.78,4042500,116.63
2000-11-03,143.47,143.75,142.38,142.78,5187100,115.82
2000-11-02,143.16,143.91,142.52,142.70,11395100,115.76
2000-11-01,142.25,143.25,141.22,142.47,6753600,115.57
2000-10-31,141.02,143.69,140.06,142.95,7752400,115.96
2000-10-30,138.44,141.09,138.16,140.53,10154100,114.00
2000-10-27,137.88,139.28,136.63,139.28,9762900,112.98
2000-10-26,137.13,137.66,134.03,136.69,9345800,110.88
2000-10-25,138.75,139.56,136.13,136.31,9137600,110.58
2000-10-24,140.97,141.94,139.00,139.59,5750700,113.24
2000-10-23,139.94,141.03,138.94,140.53,5290000,114.00
2000-10-20,138.38,141.19,138.38,139.91,7373500,113.50
2000-10-19,136.84,139.45,136.44,139.31,8767300,113.01
2000-10-18,132.63,136.13,130.16,134.25,10897300,108.90
2000-10-17,138.44,138.56,134.41,134.75,7831700,109.31
2000-10-16,137.41,138.23,136.69,138.19,5659000,112.10
2000-10-13,132.94,137.66,132.88,137.56,11778800,111.59
2000-10-12,137.28,137.59,132.78,133.13,12336900,108.00
2000-10-11,137.63,138.63,135.13,136.53,10346000,110.75
2000-10-10,140.09,141.25,137.69,137.69,6104700,111.69
2000-10-09,141.31,141.31,139.38,140.00,4508000,113.57
2000-10-06,143.88,144.64,139.75,141.06,10014900,114.43
2000-10-05,143.41,144.84,143.31,144.19,4566900,116.97
2000-10-04,142.88,144.25,141.75,143.69,6148900,116.56
2000-10-03,144.53,145.75,142.28,142.50,9347200,115.60
2000-10-02,144.28,144.91,143.14,143.84,5517800,116.68
2000-09-29,145.47,145.97,143.63,143.63,9333600,116.51
2000-09-28,143.19,146.33,142.89,145.00,7036400,117.62
2000-09-27,143.56,143.97,142.13,143.16,7186200,116.13
2000-09-26,144.38,145.00,142.41,142.41,5302400,115.52
2000-09-25,145.94,146.06,143.72,144.25,9726300,117.02
2000-09-22,142.63,145.31,142.42,145.28,7791300,117.85
2000-09-21,144.47,145.56,142.63,142.69,5972300,115.75
2000-09-20,145.69,146.03,143.16,144.89,6508100,117.54
2000-09-19,145.13,146.31,144.70,145.97,6588200,118.41
2000-09-18,146.38,146.97,144.20,144.66,5109300,117.35
2000-09-15,148.19,148.25,146.00,146.00,4085700,118.44
2000-09-14,149.88,149.94,148.16,149.64,3397100,121.08
2000-09-13,148.00,149.34,147.66,148.89,7691600,120.48
2000-09-12,149.75,150.25,148.44,148.50,4769100,120.16
2000-09-11,149.75,151.19,148.69,149.59,3937500,121.04
2000-09-08,150.28,150.50,149.33,149.81,3518200,121.22
2000-09-07,150.25,151.08,149.83,150.84,4265500,122.06
2000-09-06,151.19,151.95,149.53,149.56,4322200,121.02
2000-09-05,151.88,152.20,150.81,151.28,3470800,122.41
2000-09-01,153.25,153.59,152.00,152.50,3191200,123.40
2000-08-31,151.06,153.09,150.91,152.34,4863100,123.27
2000-08-30,151.31,151.50,150.34,150.34,3964800,121.65
2000-08-29,151.44,151.88,150.91,151.80,3561900,122.83
2000-08-28,151.25,152.91,151.25,151.77,5518700,122.81
2000-08-25,151.16,151.63,150.94,151.25,2822200,122.39
2000-08-24,151.16,151.50,150.50,151.31,4529000,122.44
2000-08-23,149.81,151.28,149.28,150.84,5483200,122.06
2000-08-22,150.56,151.31,150.09,150.25,3075300,121.58
2000-08-21,150.03,150.72,149.41,150.50,2380600,121.78
2000-08-18,150.38,150.38,149.22,149.69,4626400,121.12
2000-08-17,148.69,150.44,148.34,150.19,5652200,121.53
2000-08-16,149.31,149.94,147.84,148.63,5191600,120.27
2000-08-15,149.34,149.81,148.56,149.16,5564600,120.70
2000-08-14,147.78,149.56,147.06,149.28,2966700,120.79
2000-08-11,146.63,148.00,145.56,147.41,5089400,119.28
2000-08-10,147.53,147.86,146.28,146.72,4193400,118.72
2000-08-09,149.14,149.22,147.38,147.44,5383800,119.30
2000-08-08,147.50,148.81,147.50,148.69,3658700,120.32
2000-08-07,146.72,148.44,146.38,148.13,4159800,119.86
2000-08-04,146.31,146.72,145.41,146.38,3686600,118.45
2000-08-03,142.88,145.81,142.63,145.59,4607100,117.81
2000-08-02,143.88,145.41,143.63,144.59,7439800,117.00
2000-08-01,143.63,144.72,143.13,143.88,3946600,116.42
2000-07-31,142.94,144.13,142.06,143.00,5265500,115.71
2000-07-28,145.72,145.91,141.52,142.09,6229500,114.98
2000-07-27,145.94,146.63,144.69,145.38,7652600,117.64
2000-07-26,146.97,147.16,145.64,145.88,12062500,118.04
2000-07-25,147.75,147.84,146.78,147.31,4757100,119.20
2000-07-24,148.13,148.86,146.56,146.84,5628500,118.82
2000-07-21,149.75,149.75,147.69,147.69,5656900,119.51
2000-07-20,149.00,150.63,148.81,150.63,4538900,121.89
2000-07-19,149.47,149.91,148.25,148.56,8506800,120.21
2000-07-18,150.63,150.63,149.34,149.77,4262100,121.19
2000-07-17,150.98,151.98,150.69,151.00,4208300,122.18
2000-07-14,150.44,151.25,149.67,151.25,5341900,122.39
2000-07-13,149.98,150.38,149.19,149.78,5356000,121.20
2000-07-12,149.28,150.13,148.69,149.13,5883000,120.67
2000-07-11,147.47,149.13,147.16,148.16,5431600,119.89
2000-07-10,147.88,148.91,147.53,147.84,2816100,119.63
2000-07-07,146.69,148.78,146.25,148.09,3034800,119.83
2000-07-06,144.94,146.47,144.22,145.75,5963200,117.94
2000-07-05,146.38,146.66,144.38,144.63,2748200,117.03
2000-07-03,145.44,147.44,145.19,147.28,1436600,119.17
2000-06-30,143.94,145.59,143.89,145.28,7420200,117.56
2000-06-29,144.75,145.75,143.52,144.19,6345700,116.67
2000-06-28,145.63,146.98,145.31,145.56,5347700,117.78
2000-06-27,145.98,146.72,145.02,145.16,4159500,117.46
2000-06-26,145.38,146.25,144.88,146.23,5201300,118.33
2000-06-23,145.81,146.13,143.88,144.38,4863300,116.83
2000-06-22,147.56,147.69,145.00,145.63,7490500,117.84
2000-06-21,146.94,148.44,146.89,147.88,3115000,119.66
2000-06-20,148.19,148.88,147.00,147.94,6480000,119.71
2000-06-19,146.47,149.16,146.25,148.47,5106900,120.14
2000-06-16,148.31,148.31,145.88,146.59,5567900,118.62
2000-06-15,148.13,148.75,146.84,148.16,5881200,119.61
2000-06-14,148.25,148.88,147.19,147.84,6420500,119.35
2000-06-13,144.81,147.75,144.63,147.59,6558700,119.14
2000-06-12,146.97,146.97,144.88,144.88,3678900,116.96
2000-06-09,147.50,147.97,145.63,146.59,3085300,118.34
2000-06-08,147.50,147.75,146.06,146.91,5723100,118.60
2000-06-07,146.63,148.00,146.00,147.48,4919500,119.06
2000-06-06,146.63,147.78,145.91,146.47,4858900,118.24
2000-06-05,147.47,148.22,146.88,147.13,6998100,118.77
2000-06-02,148.94,149.09,147.48,147.84,8962200,119.35
2000-06-01,143.69,145.44,143.00,145.31,8961600,117.30
2000-05-31,142.56,144.00,142.09,142.81,6056500,115.29
2000-05-30,140.00,142.94,139.47,142.50,5362700,115.04
2000-05-26,138.81,139.69,137.33,138.00,4814000,111.40
2000-05-25,140.69,141.81,137.72,137.84,8278900,111.27
2000-05-24,138.00,140.69,136.50,140.25,11081500,113.22
2000-05-23,140.44,140.81,137.56,138.00,7979200,111.40
2000-05-22,141.25,141.47,137.00,140.06,10839400,113.07
2000-05-19,142.56,143.23,140.41,141.13,6518400,113.93
2000-05-18,145.63,146.31,143.38,143.38,4325600,115.75
2000-05-17,145.69,146.19,144.47,145.16,5907200,117.18
2000-05-16,146.56,147.72,145.31,146.69,8192200,118.42
2000-05-15,142.75,145.61,142.00,145.28,4441300,117.28
2000-05-12,141.81,143.47,141.63,142.81,5960800,115.29
2000-05-11,140.13,141.50,139.13,141.28,7091100,114.05
2000-05-10,140.50,140.97,137.75,138.13,10293900,111.51
2000-05-09,143.06,143.41,140.27,141.31,5620300,114.08
2000-05-08,142.75,143.38,141.84,142.45,5064100,115.00
2000-05-05,141.06,144.00,140.94,143.53,7862400,115.87
2000-05-04,142.00,142.36,140.75,141.81,5963600,114.48
2000-05-03,144.00,144.00,139.78,140.75,12630700,113.62
2000-05-02,145.50,147.13,144.13,144.13,9411900,116.35
2000-05-01,146.56,148.48,145.84,147.06,7328300,118.72
2000-04-28,147.00,147.86,145.06,145.09,8743400,117.13
2000-04-27,143.00,147.34,143.00,146.00,15595300,117.86
2000-04-26,147.97,148.75,146.00,146.48,7711100,118.25
2000-04-25,144.63,148.16,144.44,148.16,14102000,119.61
2000-04-24,141.50,143.31,140.50,142.25,12893100,114.83
2000-04-20,143.56,143.94,142.38,143.81,8537600,116.09
2000-04-19,144.50,145.13,142.53,143.13,6553700,115.54
2000-04-18,140.56,144.47,139.78,144.47,11069200,116.63
2000-04-17,135.19,140.75,134.69,140.75,23918200,113.62
2000-04-14,142.63,142.81,133.50,136.00,29604000,109.79
2000-04-13,147.47,148.16,143.78,144.25,12225800,116.45
2000-04-12,150.38,151.16,146.16,146.28,10779200,118.09
2000-04-11,150.00,151.63,148.38,150.41,9006400,121.42
2000-04-10,151.75,153.11,150.31,150.84,9624200,121.77
2000-04-07,151.56,152.13,150.50,151.44,6023600,122.25
2000-04-06,150.25,151.69,149.00,150.48,6378500,121.48
2000-04-05,147.88,150.81,147.63,149.19,8387200,120.44
2000-04-04,151.75,153.00,141.39,150.13,19585500,121.20
2000-04-03,150.13,151.25,148.69,151.25,8508200,122.10
2000-03-31,149.63,152.31,148.44,150.38,9249100,121.40
2000-03-30,150.16,151.92,147.13,148.69,9491900,120.03
2000-03-29,151.56,152.48,149.66,151.22,6747500,122.08
2000-03-28,151.25,152.98,150.59,151.06,6334400,121.95
2000-03-27,153.38,153.78,151.81,151.94,8798600,122.66
2000-03-24,152.88,155.75,151.72,153.56,11462900,123.96
2000-03-23,149.16,153.47,149.16,152.66,11654500,123.24
2000-03-22,149.56,150.84,148.69,150.09,8260000,121.16
2000-03-21,145.53,149.75,144.50,149.19,13612600,120.44
2000-03-20,146.88,147.34,144.78,146.19,12502300,118.01
2000-03-17,145.81,148.00,145.44,146.94,10272900,118.62
2000-03-16,141.63,146.84,140.88,146.34,25601400,117.84
2000-03-15,136.88,140.44,136.06,139.81,10300800,112.58
2000-03-14,139.28,140.09,136.16,136.63,8263900,110.02
2000-03-13,136.69,140.47,135.69,138.59,10540500,111.60
2000-03-10,140.19,142.00,139.53,140.13,7924600,112.84
2000-03-09,137.25,140.88,136.13,140.88,5500900,113.44
2000-03-08,136.47,137.84,135.03,136.88,11808500,110.22
